"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
249,641941,"Pagán, Emilio",1069,23.3,0.333,0.37,0.269,0.704,0.419,0.354,0.28,9,27,90.3,31.3,2347,92.2,93.02,32,109,140,0.7999999999999972,6.83,113,149,114,149,295,324,293,"0.169","-0.169","70.4","7.4",28,28,3,4,0,2,0,0,0,0,1.57586,1.13189,0.35241,-0.13249,"91.3",200,42.857142857142854,14.285714285714285,14.285714285714285,5.64,-1.6,-0.13,2.5,0.321,4,"-0.067871486",0.284,0.525,"0.067871486",0.053,0.03700000000000003,0.179,0.065,29.4,"42.5",12.916771076166055,-8.697841765981362,30.37628130191635,0.4953271028037383,36.5384012953326,33.68498495799411
243,656546,"Hoffman, Jeff",1132,21.5,0.552,0.517,0.462,1.069,0.662,0.58,0.473,16,29,90.6,12.4,2497,92.8,92.96,32,93,150,0.20000000000000284,6.57,111,148,111,149,294,324,296,"-5.601","5.601","68.0","7.0",32,32,9,3,0,4,0,0,0,0,1.84016,0.84649,0.65182,-0.14256,"93.4",181,56.25,18.75,18.75,5.79,-2.59,0.03,2.56,0.533,6,"2.304938272",0.466,0.921,"-2.304938272",0.079,0.067,0.148,0.082,34.4,"37.4",6.791627060181154,-1.6230450200030226,31.203042744134105,0.5222222222222223,36.967171007566755,28.880473449822407
243,663158,"Suarez, Robert",1086,22.4,0.192,0,0.192,0.192,0.17,0.296,0.271,5,26,90.9,16.6,2276,96.1,96.68,23,93,150,0.6000000000000085,6.83,119,149,116,150,300,323,298,"5.621","-5.621","69.6","6.8",26,26,5,0,0,0,0,0,0,0,1.17802,1.31975,0.76774,-0.10008,"91.1",144,44,8,7.6923076923076925,6.18,-1.16,0,2.55,0.192,2,"-2.313168724",0.271,0.427,"2.313168724",-0.079,-0.07900000000000001,-0.235,-0.126,24.7,"45.8",6.644840501409925,2.5130406123464213,32.557885876843834,0.48863636363636365,36.75974239266589,26.395243714415916
237,661395,"Duran, Jhoan",1086,21.8,0.458,0.083,0.44,0.542,0.43,0.296,0.303,11,24,90.4,-6.4,2106,96,95.67,32,89,148,-0.29999999999999716,6.18,112,147,112,149,295,325,293,"-0.048","0.048","70.2","6.9",26,25,9,2,0,0,0,0,0,0,2.29675,0.20852,0.71409,-0.18169,"92.7",111,40,4,3.8461538461538463,6.01,-2.34,-0.04,2.57,0.462,1,"0.020253165",0.319,0.361,"-0.020253165",0.155,0.14300000000000002,0.181,0.134,36,"32.7",3.360708834984702,10.989084879404688,33.49564276792742,0.367816091954023,37.465816981616335,22.591693375823134
233,628452,"Iglesias, Raisel",974,23.9,0.3,0.367,0.222,0.667,0.405,0.368,0.284,9,30,92.8,22.3,2309,92.3,91.95,16,71,162,-0.3999999999999915,6.15,114,149,113,150,303,323,298,"-1.084","1.084","70.7","7.5",30,30,4,2,0,3,0,0,0,0,1.91472,0.78571,0.93837,0.02798,"93.8",181,48.275862068965516,17.24137931034483,16.666666666666664,5.52,-1.84,0.05,2.08,0.3,5,"0.465236052",0.284,0.593,"-0.465236052",0.016,0.016000000000000014,0.074,0.037,22.5,"31.5",11.302649426896284,-6.126835332484544,34.465665684999145,0.5285714285714286,36.09580847892615,32.92452022766981
223,445276,"Jansen, Kenley",878,25.4,0.25,0,0.238,0.25,0.21,0.288,0.256,5,20,89.1,27.9,2575,91.9,92.67,25,84,139,0.7999999999999972,6.91,108,146,112,148,308,329,305,"3.788","-3.788","72.6","7.3",22,22,5,0,0,0,0,0,0,0,1.21287,1.5074,-0.20611,-0.0037,"91.3",165,36.36363636363637,4.545454545454546,4.545454545454546,6.29,-2.3,-0.11,2.45,0.238,1,"-1.698654709",0.245,0.448,"1.698654709",-0.006,-0.007000000000000006,-0.198,-0.078,29.8,"51.0",10.419436872711787,-2.569128155617145,33.01086199891306,0.5185185185185185,34.93168880230723,30.135753316042877
222,608032,"Estévez, Carlos",1064,20.9,0.348,0.13,0.333,0.478,0.356,0.347,0.329,8,23,92.3,21.5,2130,91.3,91.25,12,77,145,-0.09999999999999432,6.22,113,148,117,151,293,323,296,"2.192","-2.192","71.5","7.3",25,24,5,3,0,0,0,0,0,0,1.8145,0.94441,0.25788,-0.19032,"92.5",187,50,4.166666666666666,4,6.03,-1.93,-0.11,2.59,0.36,1,"-0.987387387",0.344,0.475,"0.987387387",0.019,0.016000000000000014,0.003,0.009,15.6,"41.7",8.99462830089181,-0.1504672108844995,32.32967636803098,0.527027027027027,35.98077137886675,29.5324266163416
220,664126,"Fairbanks, Pete",987,22.3,0.176,0.059,0.176,0.235,0.177,0.156,0.167,3,17,81.4,11.4,2473,91.6,91.96,21,64,156,0.4000000000000057,6.43,109,147,110,148,299,322,294,"3.421","-3.421","67.0","7.3",17,17,2,1,0,0,0,0,0,0,2.19355,0.54941,-0.16955,-0.06418,"90.6",133,35.294117647058826,0,0,7.01,-0.06,0.06,2.27,0.176,0,"-1.555",0.167,0.187,"1.555",0.009,0.00899999999999998,0.048,0.021,32.8,"58.0",10.485925601046077,-3.642285733759403,31.31489652407512,0.5,39.03290377736627,32.36204270181711
217,662253,"Muñoz, Andrés",1047,20.7,0.333,0.111,0.333,0.444,0.335,0.322,0.314,3,9,81,7.2,2289,92,92.55,30,57,160,0.5999999999999943,6.64,111,146,109,145,290,320,297,"1.837","-1.837","67.1","7.3",9,9,2,1,0,0,0,0,0,0,2.33562,0.39884,0.28258,0.08664,"89.4",182,11.11111111111111,0,0,5.33,-2.53,-0.05,2.3,0.333,0,"-0.846543779",0.314,0.433,"0.846543779",0.019,0.019000000000000017,0.011,0.013,52.6,"29.3",11.38975459464502,-7.771919068138719,32.33755380732525,0.42105263157894735,36.873156660224204,33.15900793772741
202,621242,"Díaz, Edwin",1067,18.9,0.067,0,0.067,0.067,0.169,0.338,0.241,1,15,84.3,11.8,2292,93.9,95.32,26,56,146,1.3999999999999915,7.14,114,147,111,148,298,325,298,"2.356","-2.356","67.8","6.9",19,16,1,0,0,0,0,0,0,0,1.8155,0.79149,0.66296,-0.03905,"95.2",202,43.75,0,0,4.95,-2,-0.16,2.74,0.222,0,"-1.166336634",0.368,0.376,"1.166336634",-0.174,-0.146,-0.309,-0.169,46.4,"19.1",8.078793942323308,2.3748737340394195,34.13088813664534,0.42,36.096034645294885,27.734293572129236
