pitches_out_of_zone,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
112,661395,"Duran, Jhoan",1073,10.4,,,,,0.722,0.722,,0,0,,,2170,94.7,94.38,16,21,91,-0.29999999999999716,6.15,111,147,112,148,295,325,293,-2.227,2.227,64.0,7.1,1,0,0,0,0,0,0,0,0,0,2.46,0.11705,0.51732,-0.10089,88.0,11,,,,5.98,-2.37,0.03,2.61,1,,1.988392857,1,,-1.988392857,,0,,0,76.2,32.1,5.9125691289803015,4.566381961953478,34.359830865417656,0.55,39.99899314218188,25.976641038771135
111,662253,"Muñoz, Andrés",1035,10.7,0,0,0,0,0,0.172,0.192,0,2,57.1,-27,2270,91.6,92.21,14,19,92,0.6000000000000085,6.66,110,146,106,146,289,320,298,-1.218,1.218,64.6,8.1,2,2,0,0,0,0,0,0,0,0,2.42414,0.32775,0.23225,0.11423,89.5,52,0,0,0,5.32,-2.5,-0.08,2.13,0,0,1.097297297,0.192,0.212,-1.097297297,-0.192,-0.192,-0.212,-0.172,73.7,29.6,22.39488279214558,-25.52724674505825,34.880689736967,0.42105263157894735,36.75385124121892,43.74010599443452
111,628452,"Iglesias, Raisel",964,11.5,0.25,0,0.25,0.25,0.221,0.196,0.198,1,4,90.9,25.5,2283,91.8,91.5,7,17,94,-0.29999999999999716,6.16,117,148,113,150,303,323,298,-1.932,1.932,68.2,7.5,4,4,1,0,0,0,0,0,0,0,1.99486,0.73468,0.9036,-0.14288,91.7,86,25,0,0,5.53,-1.82,0.11,1.78,0.25,0,1.740540541,0.198,0.251,-1.740540541,0.052,0.05199999999999999,-0.001,0.025,41.2,31.8,11.681550165534166,-18.131488625669316,37.13486707214355,0.47058823529411764,35.58426090423386,38.49923188834521
108,641941,"Pagán, Emilio",1068,10.1,0,0,0,0,0,0.23,0.221,0,1,70.9,47,2266,91.3,92.17,12,20,88,0.9000000000000057,6.83,113,148,113,149,295,324,294,-1.813,1.813,65.5,7.5,1,1,0,0,0,0,0,0,0,0,1.7312,1.02769,0.34231,-0.20157,89.1,215,0,0,0,5.63,-1.61,-0.27,2.38,0,0,1.678703704,0.221,0.299,-1.678703704,-0.221,-0.221,-0.299,-0.23,60,42.5,14.88982069103762,-21.087667153635888,30.689184844290953,0.35,34.906824379085556,36.93709405721492
107,664126,"Fairbanks, Pete",987,10.8,0,0,0,0,0,0.04,0.044,0,1,64.2,-24,2481,91.8,92.24,11,17,90,0.4000000000000057,6.46,107,146,110,147,299,322,294,-1.726,1.726,63.7,8.0,1,1,0,0,0,0,0,0,0,0,2.12953,0.59869,-0.14243,-0.08505,88.1,120,0,0,0,7,-0.08,0.15,2.02,0,0,1.613084112,0.044,0.044,-1.613084112,-0.044,-0.044,-0.044,-0.04,64.7,57.9,18.47550198826468,-14.455978700892853,32.69326666401215,0.23529411764705882,41.910538819728345,40.21780840377726
105,621242,"Díaz, Edwin",1067,9.8,0,0,0,0,0.542,0.58,0.171,0,1,52.5,16,2286,93.4,94.81,12,16,89,1.3999999999999915,7.14,114,148,112,149,299,325,298,-3.304,3.304,63.5,7.1,4,1,0,0,0,0,0,0,0,0,1.88095,0.75769,0.59882,0.00451,88.0,151,0,0,0,4.96,-1.98,-0.19,2.81,0.75,0,3.146666667,0.793,0.193,-3.146666667,-0.171,-0.04300000000000004,-0.193,-0.038,75,19.6,8.556007323573928,0.5051918464617309,36.92138029617672,0.26666666666666666,36.45976275308705,28.643897512083175
103,663158,"Suarez, Robert",1077,9.6,0,0,0,0,0,0.093,0.099,0,2,75.3,-13,2250,95.7,96.28,8,16,87,0.5999999999999943,6.82,117,149,117,150,300,325,298,-1.403,1.403,70.5,7.2,2,2,0,0,0,0,0,0,0,0,1.23087,1.28757,0.80786,-0.05699,88.0,92,0,0,0,6.19,-1.17,-0.03,2.64,0,0,1.362135922,0.099,0.121,-1.362135922,-0.099,-0.099,-0.121,-0.093,50,46.0,12.119962480881838,1.6965740421848587,30.79699705352645,0.5625,38.9023106825712,28.48032097589681
99,656546,"Hoffman, Jeff",1128,8.8,0.667,0.167,0.667,0.833,0.65,0.385,0.42,4,6,92,14.7,2478,91.9,92.07,14,24,75,0.19999999999998863,6.57,111,148,113,148,295,324,295,-2.998,2.998,63.5,7.1,6,6,3,1,0,0,0,0,0,0,2.03061,0.71082,0.57606,-0.10192,92.1,147,50,0,0,5.79,-2.57,0.12,2.53,0.667,0,3.028282828,0.42,0.464,-3.028282828,0.247,0.24700000000000005,0.369,0.265,58.3,37.5,9.936322081399249,-1.9619430857989886,26.9724390861665,0.5,37.34690664782564,30.66239462512328
92,445276,"Jansen, Kenley",869,10.6,0,0,0,0,0,0.045,0.044,0,1,74.8,-18,2576,91.7,92.48,1,4,88,0.7999999999999972,6.91,110,146,112,148,307,329,305,-1.971,1.971,70.0,7.6,1,1,0,0,0,0,0,0,0,0,1.23196,1.50033,-0.19878,0.02833,89.6,156,0,0,0,6.29,-2.3,-0.17,2.33,0,0,2.142391304,0.044,0.044,-2.142391304,-0.044,-0.044,-0.044,-0.045,25,50.6,11.776196332693393,-11.304876732564072,29.65640254919889,0.75,36.58282575293254,30.974814057465192
88,661403,"Clase, Emmanuel",746,11.8,0,0,0,0,0,0.301,0.334,0,1,76.1,-59,2551,95.5,96.32,14,19,69,0.7999999999999972,6.7,112,148,118,150,298,316,293,-1.065,1.065,70.7,7.5,1,1,0,0,0,0,0,0,0,0,1.77636,0.74182,-0.4667,-0.12966,88.0,55,0,0,0,5.99,-0.91,0.37,2.12,0,0,1.210227273,0.334,0.338,-1.210227273,-0.334,-0.334,-0.338,-0.301,73.7,51.3,11.58596037127913,1.0276972868762515,33.289225705090715,0.6470588235294118,37.618716743148234,29.939472624479112
85,608032,"Estévez, Carlos",1043,8.1,0,0,0,0,0.181,0.319,0.205,0,3,82.2,32.3,2129,91.9,91.86,6,17,68,0,6.23,110,148,116,150,293,323,296,-1.258,1.258,64.0,7.1,4,3,0,0,0,0,0,0,0,0,1.74059,0.98595,0.30859,-0.17753,88.4,167,0,0,0,6.02,-1.93,-0.18,2.7,0.25,0,1.48,0.404,0.237,-1.48,-0.205,-0.15400000000000003,-0.237,-0.138,35.3,41.3,9.203453321945277,-0.060476968647529716,31.433391724535834,0.5625,32.928213018482275,28.604286422047014
81,670280,"Bednar, David",1024,7.9,1,3,,4,2.037,1.338,0.678,1,1,103.4,30,2386,87.9,87.9,8,10,71,0,6.48,109,149,111,149,294,319,292,-2.894,2.894,59.3,6.3,1,1,0,0,0,1,0,0,0,0,2.58086,0.50667,0.04481,0.06086,103.4,418,100,100,100,5.9,-1.65,0.5,2.24,1,1,3.572839506,0.678,2.597,-3.572839506,0.322,0.32199999999999995,1.403,0.699,80,39.5,3.737416514312353,11.746640055899096,30.434845841969437,0.3,36.17842737805107,21.276873015867974
